Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
火柴		<span class="tone3">huǒ</span> <span class="tone2">chái</span>	<ol><li>match (for lighting fire)</li></ol>	根(<span class="tone1">gēn</span>), 盒(<span class="tone2">hé</span>)			HSK_Level_5	34	[6, 34]
香肠	香腸	<span class="tone1">xiāng</span> <span class="tone2">cháng</span>	<ol><li>sausage</li></ol>	根(<span class="tone1">gēn</span>)			HSK_Level_5	34	[17, 34]
优惠	優惠	<span class="tone1">yōu</span> <span class="tone4">huì</span>	<ol><li>preferential</li> <li>favorable</li></ol>				HSK_Level_5	34	[18, 34]
肩膀		<span class="tone1">jiān</span> <span class="tone3">bǎng</span>	<ol><li>shoulder</li></ol>				HSK_Level_5	34	[29, 34]
豪华	豪華	<span class="tone2">háo</span> <span class="tone2">huá</span>	<ol><li>luxurious</li></ol>				HSK_Level_5	34	[34, 8]
瞧		<span class="tone2">qiáo</span>	<ol><li>to look at</li> <li>to see</li> <li>to see (a doctor)</li> <li>to visit</li></ol>			<span class="nobr">桥|橋</span>	HSK_Level_5	34	[34]
燃烧	燃燒	<span class="tone2">rán</span> <span class="tone1">shāo</span>	<ol><li>to ignite</li> <li>to combust</li> <li>to burn</li> <li>combustion</li> <li>flaming</li></ol>				HSK_Level_5	34	[34, 21]
锁	鎖	<span class="tone3">suǒ</span>	<ol><li>to lock up</li> <li>to lock</li> <li>lock</li></ol>	把(<span class="tone3">bǎ</span>)		<span class="nobr">所</span>	HSK_Level_5	34	[34]
逻辑	邏輯	<span class="tone2">luó</span> <span class="tone5">ji</span>	<ol><li>logic (loanword)</li></ol>				HSK_Level_5	34	[34, 28]
询问	詢問	<span class="tone2">xún</span> <span class="tone4">wèn</span>	<ol><li>to inquire</li></ol>				HSK_Level_5	34	[34, 5]
拦	攔	<span class="tone2">lán</span>	<ol><li>to block sb's path</li> <li>to obstruct</li> <li>to flag down (a taxi)</li></ol>			<span class="nobr">蓝|藍</span>	HSK_Level_5	34	[34]
谨慎	謹慎	<span class="tone3">jǐn</span> <span class="tone4">shèn</span>	<ol><li>cautious</li> <li>prudent</li></ol>				HSK_Level_5	35	[33, 35]
撞		<span class="tone4">zhuàng</span>	<ol><li>to knock against</li> <li>to bump into</li> <li>to run into</li> <li>to meet by accident</li></ol>			<span class="nobr">幢</span>	HSK_Level_5	35	[35]
滚	滾	<span class="tone3">gǔn</span>	<ol><li>to boil</li> <li>to roll</li> <li>to take a hike</li> <li>Get lost!</li></ol>				HSK_Level_5	35	[35]
戒		<span class="tone4">jiè</span>	<ol><li>to guard against</li> <li>to exhort</li> <li>to admonish or warn</li> <li>to give up or stop doing sth</li> <li>Buddhist monastic discipline</li> <li>ring (for a finger)</li></ol>			<span class="nobr">借</span> <span class="nobr">届|屆</span>	HSK_Level_5	35	[35]
戒指		<span class="tone4">jiè</span> <span class="tone5">zhi</span>	<ol><li>(finger) ring</li></ol>				HSK_Level_5	35	[35, 7]
沟通	溝通	<span class="tone1">gōu</span> <span class="tone1">tōng</span>	<ol><li>to join</li> <li>to connect</li> <li>to link up</li> <li>to communicate</li></ol>				HSK_Level_5	35	[35, 5]
扶		<span class="tone2">fú</span>	<ol><li>to support with the hand</li> <li>to help sb up</li> <li>to support oneself by holding onto something</li> <li>to help</li></ol>			<span class="nobr">幅</span>	HSK_Level_5	35	[35]
慌张	慌張	<span class="tone1">huāng</span> <span class="tone1">zhāng</span>	<ol><li>confused</li> <li>flustered</li></ol>				HSK_Level_5	35	[35, 10]
卧室	臥室	<span class="tone4">wò</span> <span class="tone4">shì</span>	<ol><li>bedroom</li></ol>	间|間(<span class="tone1">jiān</span>)			HSK_Level_5	35	[35, 12]
安慰		<span class="tone1">ān</span> <span class="tone4">wèi</span>	<ol><li>to comfort</li> <li>to console</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	36	[1, 36]
无奈	無奈	<span class="tone2">wú</span> <span class="tone4">nài</span>	<ol><li>helpless</li> <li>without choice</li> <li>for lack of better option</li> <li>grudgingly</li> <li>willy-nilly</li> <li>nolens volens</li> <li>abbr. for 無可奈何|无可奈何[wu2 ke3 nai4 he2]</li></ol>				HSK_Level_5	36	[3, 36]
委屈		<span class="tone3">wěi</span> <span class="tone5">qu</span>	<ol><li>to feel wronged</li> <li>to cause sb to feel wronged</li> <li>grievance</li></ol>				HSK_Level_5	36	[8, 36]
印刷		<span class="tone4">yìn</span> <span class="tone1">shuā</span>	<ol><li>to print</li> <li>printing</li></ol>				HSK_Level_5	36	[14, 36]
恶劣	惡劣	<span class="tone4">è</span> <span class="tone4">liè</span>	<ol><li>vile</li> <li>nasty</li> <li>of very poor quality</li></ol>				HSK_Level_5	36	[19, 36]
庆祝	慶祝	<span class="tone4">qìng</span> <span class="tone4">zhù</span>	<ol><li>to celebrate</li></ol>				HSK_Level_5	36	[28, 36]
佩服		<span class="tone4">pèi</span> <span class="tone2">fú</span>	<ol><li>to admire</li></ol>				HSK_Level_5	36	[36, 9]
届	屆	<span class="tone4">jiè</span>	<ol><li>to arrive at (place or time)</li> <li>period</li> <li>to become due</li> <li>classifier for events, meetings, elections, sporting fixtures, years (of graduation)</li></ol>			<span class="nobr">借</span> <span class="nobr">戒</span>	HSK_Level_5	36	[36]
欣赏	欣賞	<span class="tone1">xīn</span> <span class="tone3">shǎng</span>	<ol><li>to appreciate</li> <li>to enjoy</li> <li>to admire</li></ol>				HSK_Level_5	36	[36, 26]
劝	勸	<span class="tone4">quàn</span>	<ol><li>to advise</li> <li>to urge</li> <li>to try to persuade</li> <li>to exhort</li> <li>to console</li> <li>to soothe</li></ol>				HSK_Level_5	36	[36]
贷款	貸款	<span class="tone4">dài</span> <span class="tone3">kuǎn</span>	<ol><li>a loan</li> <li>to provide a loan (e.g. bank)</li> <li>to raise a loan (from e.g. a bank)</li></ol>	笔|筆(<span class="tone3">bǐ</span>)			HSK_Level_5	36	[36, 20]
匆忙		<span class="tone1">cōng</span> <span class="tone2">máng</span>	<ol><li>hasty</li> <li>hurried</li></ol>				HSK_Level_5	36	[36, 17]
祝福		<span class="tone4">zhù</span> <span class="tone2">fú</span>	<ol><li>blessings</li> <li>to wish sb well</li></ol>				HSK_Level_5	36	[36, 13]
秩序		<span class="tone4">zhì</span> <span class="tone4">xù</span>	<ol><li>order (orderly)</li> <li>order (sequence)</li> <li>social order</li> <li>the state (of society)</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	36	[36, 18]
宿舍		<span class="tone4">sù</span> <span class="tone4">shè</span>	<ol><li>dormitory</li> <li>dorm room</li> <li>living quarters</li> <li>hostel</li></ol>	间|間(<span class="tone1">jiān</span>)			HSK_Level_5	36	[36, 28]
歇		<span class="tone1">xiē</span>	<ol><li>to rest</li></ol>			<span class="nobr">些</span>	HSK_Level_5	36	[36]
俱乐部	俱樂部	<span class="tone4">jù</span> <span class="tone4">lè</span> <span class="tone4">bù</span>	<ol><li>club (i.e. a group or organization) (loanword)</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	36	[36, 12, 5]
吻		<span class="tone3">wěn</span>	<ol><li>kiss</li> <li>to kiss</li> <li>mouth</li></ol>				HSK_Level_5	36	[36]
扇子		<span class="tone4">shàn</span> <span class="tone5">zi</span>	<ol><li>fan</li></ol>	把(<span class="tone3">bǎ</span>)			HSK_Level_5	36	[36, 1]
活跃	活躍	<span class="tone2">huó</span> <span class="tone4">yuè</span>	<ol><li>active</li> <li>lively</li> <li>excited</li> <li>to enliven</li> <li>to brighten up</li></ol>				HSK_Level_5	37	[1, 37]
多亏	多虧	<span class="tone1">duō</span> <span class="tone1">kuī</span>	<ol><li>thanks to</li> <li>luckily</li></ol>				HSK_Level_5	37	[1, 37]
实践	實踐	<span class="tone2">shí</span> <span class="tone4">jiàn</span>	<ol><li>to practice</li> <li>to put into practice</li> <li>to fulfill</li></ol>				HSK_Level_5	37	[4, 37]
发抖	發抖	<span class="tone1">fā</span> <span class="tone3">dǒu</span>	<ol><li>to tremble</li> <li>to shake</li> <li>to shiver</li></ol>				HSK_Level_5	37	[5, 37]
吃亏	吃虧	<span class="tone1">chī</span> <span class="tone1">kuī</span>	<ol><li>to suffer losses</li> <li>to come to grief</li> <li>to lose out</li> <li>to get the worst of it</li> <li>to be at a disadvantage</li> <li>unfortunately</li></ol>				HSK_Level_5	37	[7, 37]
爱惜	愛惜	<span class="tone4">ài</span> <span class="tone1">xī</span>	<ol><li>to cherish</li> <li>to treasure</li> <li>to use sparingly</li></ol>				HSK_Level_5	37	[8, 37]
展览	展覽	<span class="tone3">zhǎn</span> <span class="tone3">lǎn</span>	<ol><li>to put on display</li> <li>to exhibit</li> <li>exhibition</li> <li>show</li></ol>	个|個(<span class="tone4">gè</span>), 次(<span class="tone4">cì</span>)			HSK_Level_5	37	[10, 37]
游览	遊覽	<span class="tone2">yóu</span> <span class="tone3">lǎn</span>	<ol><li>to go sight-seeing</li> <li>to tour</li> <li>to visit</li></ol>	次(<span class="tone4">cì</span>)			HSK_Level_5	37	[13, 37]
严肃	嚴肅	<span class="tone2">yán</span> <span class="tone4">sù</span>	<ol><li>solemn</li> <li>grave</li> <li>serious</li> <li>earnest</li> <li>severe</li></ol>				HSK_Level_5	37	[15, 37]
幸亏	幸虧	<span class="tone4">xìng</span> <span class="tone1">kuī</span>	<ol><li>fortunately</li> <li>luckily</li></ol>				HSK_Level_5	37	[19, 37]
温暖	溫暖	<span class="tone1">wēn</span> <span class="tone3">nuǎn</span>	<ol><li>warm</li></ol>				HSK_Level_5	37	[19, 37]
珍惜		<span class="tone1">zhēn</span> <span class="tone1">xī</span>	<ol><li>to treasure</li> <li>to value</li> <li>to cherish</li></ol>			<span class="nobr">珍稀</span>	HSK_Level_5	37	[27, 37]
兼职	兼職	<span class="tone1">jiān</span> <span class="tone2">zhí</span>	<ol><li>to hold concurrent posts</li> <li>concurrent job</li> <li>moonlighting</li></ol>				HSK_Level_5	37	[37, 12]
递	遞	<span class="tone4">dì</span>	<ol><li>to hand over</li> <li>to pass on sth</li> <li>to gradually increase or decrease</li> <li>progressively</li></ol>				HSK_Level_5	37	[37]
幼儿园	幼兒園	<span class="tone4">yòu</span> <span class="tone2">ér</span> <span class="tone2">yuán</span>	<ol><li>kindergarten</li> <li>nursery school</li></ol>				HSK_Level_5	37	[37, 1, 17]
躲藏		<span class="tone3">duǒ</span> <span class="tone2">cáng</span>	<ol><li>to conceal oneself</li> <li>to go into hiding</li> <li>to take cover</li></ol>				HSK_Level_5	37	[37, 20]
咬		<span class="tone3">yǎo</span>	<ol><li>to bite</li> <li>to nip</li></ol>				HSK_Level_5	37	[37]
冰激凌		<span class="tone1">bīng</span> <span class="tone1">jī</span> <span class="tone2">líng</span>	<ol><li>ice cream</li></ol>				HSK_Level_5	37	[21, 12, 37]
挣	掙	<span class="tone4">zhèng</span>	<ol><li>to struggle to get free</li> <li>to strive to acquire</li> <li>to make (money)</li></ol>			<span class="nobr">正</span>	HSK_Level_5	37	[37]
挡	擋	<span class="tone3">dǎng</span>	<ol><li>to resist</li> <li>to obstruct</li> <li>to hinder</li> <li>to keep off</li> <li>to block (a blow)</li> <li>to get in the way of</li> <li>cover</li> <li>gear (e.g. in a car's transmission)</li></ol>			<span class="nobr">党|黨</span>	HSK_Level_5	37	[37]
夸	誇	<span class="tone1">kuā</span>	<ol><li>to boast</li> <li>to exaggerate</li> <li>to praise</li></ol>				HSK_Level_5	37	[37]
夸张	誇張	<span class="tone1">kuā</span> <span class="tone1">zhāng</span>	<ol><li>to exaggerate</li> <li>overstated</li> <li>exaggerated</li> <li>hyperbole</li> <li>(coll.) excessive</li> <li>extreme</li> <li>ridiculous</li></ol>				HSK_Level_5	37	[37, 10]
睁	睜	<span class="tone1">zhēng</span>	<ol><li>to open (one's eyes)</li></ol>				HSK_Level_5	37	[37]
提纲	提綱	<span class="tone2">tí</span> <span class="tone1">gāng</span>	<ol><li>outline</li> <li>synopsis</li> <li>notes</li></ol>				HSK_Level_5	38	[3, 38]
装饰	裝飾	<span class="tone1">zhuāng</span> <span class="tone4">shì</span>	<ol><li>to decorate</li> <li>decoration</li> <li>decorative</li> <li>ornamental</li></ol>				HSK_Level_5	38	[7, 38]
英俊		<span class="tone1">yīng</span> <span class="tone4">jùn</span>	<ol><li>handsome</li></ol>				HSK_Level_5	38	[10, 38]
牙齿	牙齒	<span class="tone2">yá</span> <span class="tone3">chǐ</span>	<ol><li>tooth</li> <li>dental</li></ol>	颗|顆(<span class="tone1">kē</span>)			HSK_Level_5	38	[20, 38]
抱怨		<span class="tone4">bào</span> <span class="tone4">yuàn</span>	<ol><li>to complain</li> <li>to grumble</li> <li>to harbor a complaint</li> <li>to feel dissatisfied</li></ol>				HSK_Level_5	38	[22, 38]
钢铁	鋼鐵	<span class="tone1">gāng</span> <span class="tone3">tiě</span>	<ol><li>steel</li></ol>				HSK_Level_5	38	[38, 17]
寿命	壽命	<span class="tone4">shòu</span> <span class="tone4">mìng</span>	<ol><li>life span</li> <li>life expectancy</li> <li>lifetime (of a machine)</li></ol>				HSK_Level_5	38	[38, 9]
紫		<span class="tone3">zǐ</span>	<ol><li>purple</li> <li>violet</li> <li>amethyst</li> <li>Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)</li> <li>Japanese: murasaki</li></ol>				HSK_Level_5	38	[38]
艰巨	艱巨	<span class="tone1">jiān</span> <span class="tone4">jù</span>	<ol><li>arduous</li> <li>terrible (task)</li> <li>very difficult</li> <li>formidable</li></ol>				HSK_Level_5	38	[38, 20]
艰苦	艱苦	<span class="tone1">jiān</span> <span class="tone3">kǔ</span>	<ol><li>difficult</li> <li>hard</li> <li>arduous</li></ol>				HSK_Level_5	38	[38, 11]
吨	噸	<span class="tone1">dūn</span>	<ol><li>ton (loanword)</li></ol>		<span class="tone4">dùn</span>	<span class="nobr">蹲</span> <span class="nobr">顿|頓</span>	HSK_Level_5	38	[38]
醉		<span class="tone4">zuì</span>	<ol><li>intoxicated</li></ol>			<span class="nobr">最</span>	HSK_Level_5	38	[38]
嘉宾	嘉賓	<span class="tone1">jiā</span> <span class="tone1">bīn</span>	<ol><li>esteemed guest</li> <li>honored guest</li> <li>guest (on a show)</li></ol>				HSK_Level_5	38	[38, 37]
铃	鈴	<span class="tone2">líng</span>	<ol><li>(small) bell</li></ol>	只|隻(<span class="tone1">zhī</span>)		<span class="nobr">零</span>	HSK_Level_5	38	[38]
注册	註冊	<span class="tone4">zhù</span> <span class="tone4">cè</span>	<ol><li>to register</li> <li>to enroll</li></ol>				HSK_Level_5	39	[6, 39]
拥挤	擁擠	<span class="tone1">yōng</span> <span class="tone3">jǐ</span>	<ol><li>crowded</li> <li>to throng</li> <li>congestion</li></ol>				HSK_Level_5	39	[25, 39]
潮湿	潮濕	<span class="tone2">cháo</span> <span class="tone1">shī</span>	<ol><li>damp</li> <li>moist</li></ol>				HSK_Level_5	39	[26, 39]
糊涂	糊塗	<span class="tone2">hú</span> <span class="tone5">tu</span>	<ol><li>muddled</li> <li>silly</li> <li>confused</li></ol>				HSK_Level_5	39	[29, 39]
媒体	媒體	<span class="tone2">méi</span> <span class="tone3">tǐ</span>	<ol><li>media, esp. news media</li></ol>				HSK_Level_5	39	[39, 4]
册	冊	<span class="tone4">cè</span>	<ol><li>book</li> <li>booklet</li> <li>classifier for books</li></ol>				HSK_Level_5	39	[39]
飘	飄	<span class="tone1">piāo</span>	<ol><li>to float</li></ol>				HSK_Level_5	39	[39]
叙述	敘述	<span class="tone4">xù</span> <span class="tone4">shù</span>	<ol><li>to relate (a story or information)</li> <li>to tell or talk about</li> <li>to recount</li> <li>narration</li> <li>telling</li> <li>narrative</li> <li>account</li></ol>				HSK_Level_5	39	[39, 14]
疼爱	疼愛	<span class="tone2">téng</span> <span class="tone4">ài</span>	<ol><li>to love dearly</li></ol>				HSK_Level_5	39	[39, 8]
恭喜		<span class="tone1">gōng</span> <span class="tone3">xǐ</span>	<ol><li>congratulations</li> <li>greetings</li></ol>				HSK_Level_5	39	[39, 14]
湿润	濕潤	<span class="tone1">shī</span> <span class="tone4">rùn</span>	<ol><li>moist</li></ol>				HSK_Level_5	39	[39, 30]
疲劳	疲勞	<span class="tone2">pí</span> <span class="tone2">láo</span>	<ol><li>fatigue</li> <li>wearily</li> <li>weariness</li> <li>weary</li></ol>				HSK_Level_5	39	[39, 13]
斜		<span class="tone2">xié</span>	<ol><li>inclined</li> <li>slanting</li> <li>oblique</li> <li>tilting</li></ol>				HSK_Level_5	39	[39]
柜台	櫃檯	<span class="tone4">guì</span> <span class="tone2">tái</span>	<ol><li>sales counter</li> <li>front desk</li> <li>bar</li> <li>(of markets, medicines etc) OTC (over-the-counter)</li></ol>				HSK_Level_5	39	[39, 8]
老鼠		<span class="tone3">lǎo</span> <span class="tone3">shǔ</span>	<ol><li>rat</li> <li>mouse</li></ol>	只|隻(<span class="tone1">zhī</span>)			HSK_Level_5	40	[4, 40]
劳驾	勞駕	<span class="tone2">láo</span> <span class="tone4">jià</span>	<ol><li>excuse me</li></ol>				HSK_Level_5	40	[13, 40]
犹豫	猶豫	<span class="tone2">yóu</span> <span class="tone4">yù</span>	<ol><li>to hesitate</li></ol>				HSK_Level_5	40	[24, 40]
搜索		<span class="tone1">sōu</span> <span class="tone3">suǒ</span>	<ol><li>to search</li> <li>to look for sth</li> <li>to scour (search meticulously)</li> <li>to look sth up</li> <li>Internet search</li> <li>database search</li></ol>				HSK_Level_5	40	[40, 20]
驾驶	駕駛	<span class="tone4">jià</span> <span class="tone3">shǐ</span>	<ol><li>to pilot (ship, airplane etc)</li> <li>to drive</li></ol>				HSK_Level_5	40	[40, 40]
鼠标	鼠標	<span class="tone3">shǔ</span> <span class="tone1">biāo</span>	<ol><li>mouse (computing)</li></ol>				HSK_Level_5	40	[40, 9]
玻璃		<span class="tone1">bō</span> <span class="tone5">li</span>	<ol><li>glass</li> <li>nylon</li> <li>plastic</li></ol>	张|張(<span class="tone1">zhāng</span>), 块|塊(<span class="tone4">kuài</span>)			HSK_Level_5	40	[40, 40]
匹		<span class="tone3">pǐ</span>	<ol><li>classifier for horses, mules etc</li> <li>ordinary person</li> <li>classifier for cloth: bolt</li> <li>horsepower</li></ol>		<span class="tone1">pī</span>	<span class="nobr">批</span> <span class="nobr">披</span> <span class="nobr">劈</span>	HSK_Level_5	40	[40]
绳子	繩子	<span class="tone2">shéng</span> <span class="tone5">zi</span>	<ol><li>cord</li> <li>string</li> <li>rope</li></ol>	条|條(<span class="tone2">tiáo</span>)			HSK_Level_5	40	[40, 1]
傻		<span class="tone3">shǎ</span>	<ol><li>foolish</li></ol>				HSK_Level_5	40	[40]
中旬		<span class="tone1">zhōng</span> <span class="tone2">xún</span>	<ol><li>middle third of a month</li></ol>				HSK_Level_5	41	[1, 41]
除夕		<span class="tone2">chú</span> <span class="tone1">xī</span>	<ol><li>lunar New Year's Eve</li></ol>				HSK_Level_5	41	[10, 41]
均匀	均勻	<span class="tone1">jūn</span> <span class="tone2">yún</span>	<ol><li>even</li> <li>well-distributed</li> <li>homogeneous</li> <li>well-proportioned (figure, body etc)</li></ol>				HSK_Level_5	41	[16, 41]
肥皂		<span class="tone2">féi</span> <span class="tone4">zào</span>	<ol><li>soap</li></ol>	块|塊(<span class="tone4">kuài</span>), 条|條(<span class="tone2">tiáo</span>)			HSK_Level_5	41	[39, 41]
吵		<span class="tone3">chǎo</span>	<ol><li>to quarrel</li> <li>to make a noise</li> <li>noisy</li> <li>to disturb by making a noise</li></ol>			<span class="nobr">炒</span>	HSK_Level_5	41	[41]
吵架		<span class="tone3">chǎo</span> <span class="tone4">jià</span>	<ol><li>to quarrel</li> <li>to have a row</li> <li>quarrel</li></ol>	顿|頓(<span class="tone4">dùn</span>)			HSK_Level_5	41	[41, 17]
臭		<span class="tone4">chòu</span>	<ol><li>stench</li> <li>smelly</li> <li>to smell (bad)</li> <li>repulsive</li> <li>loathsome</li> <li>terrible</li> <li>bad</li> <li>severely</li> <li>ruthlessly</li> <li>dud (ammunition)</li></ol>				HSK_Level_5	41	[41]
宴会	宴會	<span class="tone4">yàn</span> <span class="tone4">huì</span>	<ol><li>banquet</li> <li>feast</li> <li>dinner party</li></ol>	席(<span class="tone2">xí</span>), 个|個(<span class="tone4">gè</span>)			HSK_Level_5	41	[41, 3]
剪刀		<span class="tone3">jiǎn</span> <span class="tone1">dāo</span>	<ol><li>scissors</li></ol>	把(<span class="tone3">bǎ</span>)			HSK_Level_5	41	[41, 21]
钓	釣	<span class="tone4">diào</span>	<ol><li>to fish with a hook and bait</li></ol>			<span class="nobr">掉</span> <span class="nobr">吊</span>	HSK_Level_5	41	[41]
发愁	發愁	<span class="tone1">fā</span> <span class="tone2">chóu</span>	<ol><li>to worry</li> <li>to fret</li> <li>to be anxious</li> <li>to become sad</li></ol>				HSK_Level_5	42	[5, 42]
围巾	圍巾	<span class="tone2">wéi</span> <span class="tone1">jīn</span>	<ol><li>scarf</li> <li>shawl</li></ol>	条|條(<span class="tone2">tiáo</span>)			HSK_Level_5	42	[14, 42]
遗憾	遺憾	<span class="tone2">yí</span> <span class="tone4">hàn</span>	<ol><li>regret</li> <li>to regret</li> <li>to be sorry that</li></ol>				HSK_Level_5	42	[19, 42]
牛仔裤	牛仔褲	<span class="tone2">niú</span> <span class="tone3">zǎi</span> <span class="tone4">kù</span>	<ol><li>jeans</li></ol>	条|條(<span class="tone2">tiáo</span>)			HSK_Level_5	42	[21, 36, 42]
狮子	獅子	<span class="tone1">shī</span> <span class="tone5">zi</span>	<ol><li>lion</li></ol>	只|隻(<span class="tone1">zhī</span>), 头|頭(<span class="tone2">tóu</span>)			HSK_Level_5	42	[42, 1]
拐弯	拐彎	<span class="tone3">guǎi</span> <span class="tone1">wān</span>	<ol><li>to go round a curve</li> <li>to turn a corner</li> <li>fig. a new direction</li></ol>				HSK_Level_5	42	[42, 33]
咨询	咨詢	<span class="tone1">zī</span> <span class="tone2">xún</span>	<ol><li>to consult</li> <li>to seek advice</li> <li>consultation</li> <li>(sales) inquiry (formal)</li></ol>				HSK_Level_5	42	[42, 34]
兑换	兌換	<span class="tone4">duì</span> <span class="tone4">huàn</span>	<ol><li>to convert</li> <li>to exchange</li></ol>				HSK_Level_5	42	[42, 19]
娱乐	娛樂	<span class="tone2">yú</span> <span class="tone4">lè</span>	<ol><li>to entertain</li> <li>to amuse</li> <li>entertainment</li> <li>recreation</li> <li>amusement</li> <li>hobby</li> <li>fun</li> <li>joy</li></ol>				HSK_Level_5	42	[42, 12]
勿		<span class="tone4">wù</span>	<ol><li>do not</li></ol>			<span class="nobr">雾|霧</span>	HSK_Level_5	42	[42]
梳子		<span class="tone1">shū</span> <span class="tone5">zi</span>	<ol><li>comb</li></ol>	把(<span class="tone3">bǎ</span>)			HSK_Level_5	42	[42, 1]
鲜艳	鮮艷	<span class="tone1">xiān</span> <span class="tone4">yàn</span>	<ol><li>bright-colored</li> <li>gaily-colored</li></ol>				HSK_Level_5	43	[17, 43]
辅导	輔導	<span class="tone3">fǔ</span> <span class="tone3">dǎo</span>	<ol><li>to coach</li> <li>to tutor</li> <li>to give advice (in study)</li></ol>				HSK_Level_5	43	[43, 7]
孝顺	孝順	<span class="tone4">xiào</span> <span class="tone4">shùn</span>	<ol><li>filial piety</li> <li>to be obedient to one's parents</li></ol>				HSK_Level_5	43	[43, 16]
冻	凍	<span class="tone4">dòng</span>	<ol><li>to freeze</li> <li>to feel very cold</li> <li>aspic or jelly</li></ol>			<span class="nobr">洞</span> <span class="nobr">栋|棟</span>	HSK_Level_5	43	[43]
摔倒		<span class="tone1">shuāi</span> <span class="tone3">dǎo</span>	<ol><li>to fall down</li> <li>to slip and fall</li> <li>to throw sb to the ground</li></ol>				HSK_Level_5	43	[43, 13]
讽刺	諷刺	<span class="tone3">fěng</span> <span class="tone4">cì</span>	<ol><li>to satirize</li> <li>to mock</li> <li>irony</li> <li>satire</li> <li>sarcasm</li></ol>				HSK_Level_5	43	[43, 21]
厘米		<span class="tone2">lí</span> <span class="tone3">mǐ</span>	<ol><li>centimeter</li></ol>				HSK_Level_5	44	[44, 13]
兔子		<span class="tone4">tù</span> <span class="tone5">zi</span>	<ol><li>hare</li> <li>rabbit</li></ol>	只|隻(<span class="tone1">zhī</span>)			HSK_Level_5	44	[44, 1]
炒		<span class="tone3">chǎo</span>	<ol><li>to sauté</li> <li>to stir-fry</li> <li>to speculate</li> <li>to hype</li> <li>to fire (sb)</li></ol>			<span class="nobr">吵</span>	HSK_Level_5	44	[44]
大厦	大廈	<span class="tone4">dà</span> <span class="tone4">shà</span>	<ol><li>large building</li> <li>edifice</li> <li>mansion</li></ol>	座(<span class="tone4">zuò</span>)			HSK_Level_5	45	[1, 45]
车厢	車廂	<span class="tone1">chē</span> <span class="tone1">xiāng</span>	<ol><li>carriage</li></ol>	节|節(<span class="tone2">jié</span>)			HSK_Level_5	45	[6, 45]
项链	項鏈	<span class="tone4">xiàng</span> <span class="tone4">liàn</span>	<ol><li>necklace</li></ol>	条|條(<span class="tone2">tiáo</span>)			HSK_Level_5	45	[11, 45]
寂寞		<span class="tone4">jì</span> <span class="tone4">mò</span>	<ol><li>lonely</li> <li>lonesome</li> <li>(of a place) quiet</li> <li>silent</li></ol>				HSK_Level_5	45	[32, 45]
晕	暈	<span class="tone1">yūn</span>	<ol><li>confused</li> <li>dizzy</li> <li>giddy</li> <li>to faint</li> <li>to swoon</li> <li>to lose consciousness</li> <li>to pass out</li></ol>				HSK_Level_5	45	[45]
倒霉		<span class="tone3">dǎo</span> <span class="tone2">méi</span>	<ol><li>to have bad luck</li> <li>to be out of luck</li></ol>				HSK_Level_5	46	[13, 46]
砍		<span class="tone3">kǎn</span>	<ol><li>to chop</li> <li>to cut down</li> <li>to throw sth at sb</li></ol>				HSK_Level_5	46	[46]
乖		<span class="tone1">guāi</span>	<ol><li>(of a child) obedient, well-behaved</li> <li>clever</li> <li>shrewd</li> <li>alert</li> <li>perverse</li> <li>contrary to reason</li> <li>irregular</li> <li>abnormal</li></ol>				HSK_Level_5	46	[46]
浇	澆	<span class="tone1">jiāo</span>	<ol><li>to pour liquid</li> <li>to irrigate (using waterwheel)</li> <li>to water</li> <li>to cast (molten metal)</li> <li>to mold</li></ol>			<span class="nobr">教</span> <span class="nobr">交</span>	HSK_Level_5	46	[46]
婚姻		<span class="tone1">hūn</span> <span class="tone1">yīn</span>	<ol><li>matrimony</li> <li>wedding</li> <li>marriage</li></ol>	桩|樁(<span class="tone1">zhuāng</span>), 次(<span class="tone4">cì</span>)			HSK_Level_5	47	[19, 47]
彩虹		<span class="tone3">cǎi</span> <span class="tone2">hóng</span>	<ol><li>rainbow</li></ol>	道(<span class="tone4">dào</span>)			HSK_Level_5	47	[23, 47]
蜜蜂		<span class="tone4">mì</span> <span class="tone1">fēng</span>	<ol><li>bee</li> <li>honeybee</li></ol>	只|隻(<span class="tone1">zhī</span>), 群(<span class="tone2">qún</span>)		<span class="nobr">密封</span>	HSK_Level_5	47	[47, 38]
嫁		<span class="tone4">jià</span>	<ol><li>(of a woman) to marry</li> <li>to marry off a daughter</li> <li>to shift (blame etc)</li></ol>				HSK_Level_5	47	[47]
熬夜		<span class="tone2">áo</span> <span class="tone4">yè</span>	<ol><li>to stay up late or all night</li></ol>				HSK_Level_5	47	[47, 13]
烫	燙	<span class="tone4">tàng</span>	<ol><li>to scald</li> <li>to burn (by scalding)</li> <li>to blanch (cooking)</li> <li>to heat (sth) up in hot water</li> <li>to perm</li> <li>to iron</li> <li>scalding hot</li></ol>			<span class="nobr">趟</span>	HSK_Level_5	47	[47]
