Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
你		<span class="tone3">nǐ</span>	<ol><li>you (informal, as opposed to courteous 您[nin2])</li></ol>				HSK_Level_1	4	[4]
年		<span class="tone2">nián</span>	<ol><li>year</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	4	[4]
什么	什麼	<span class="tone2">shén</span> <span class="tone5">me</span>	<ol><li>what?</li> <li>who?</li> <li>something</li> <li>anything</li></ol>				HSK_Level_1	4	[4, 3]
做		<span class="tone4">zuò</span>	<ol><li>to do</li> <li>to make</li> <li>to produce</li> <li>to write</li> <li>to compose</li> <li>to act as</li> <li>to engage in</li> <li>to hold (a party)</li> <li>to be</li> <li>to become</li> <li>to function (in some capacity)</li> <li>to serve as</li> <li>to be used for</li> <li>to form (a bond or relationship)</li> <li>to pretend</li> <li>to feign</li> <li>to act a part</li> <li>to put on appearance</li></ol>			<span class="nobr">坐</span> <span class="nobr">座</span>	HSK_Level_1	4	[4]
学生	學生	<span class="tone2">xué</span> <span class="tone5">sheng</span>	<ol><li>student</li> <li>schoolchild</li></ol>				HSK_Level_1	5	[2, 5]
前面		<span class="tone2">qián</span> <span class="tone4">miàn</span>	<ol><li>ahead</li> <li>in front</li> <li>preceding</li> <li>above</li></ol>				HSK_Level_1	5	[2, 5]
先生		<span class="tone1">xiān</span> <span class="tone5">sheng</span>	<ol><li>Mister (Mr.)</li></ol>				HSK_Level_1	5	[2, 5]
天气	天氣	<span class="tone1">tiān</span> <span class="tone4">qì</span>	<ol><li>weather</li></ol>				HSK_Level_1	5	[2, 5]
我们	我們	<span class="tone3">wǒ</span> <span class="tone5">men</span>	<ol><li>we</li> <li>us</li> <li>ourselves</li> <li>our</li></ol>				HSK_Level_1	5	[3, 5]
后面	後面	<span class="tone4">hòu</span> <span class="tone5">mian</span>	<ol><li>rear</li> <li>back</li> <li>behind</li> <li>later</li> <li>afterwards</li></ol>				HSK_Level_1	5	[3, 5]
打电话	打電話	<span class="tone3">dǎ</span> <span class="tone4">diàn</span> <span class="tone4">huà</span>	<ol><li>to make a telephone call</li></ol>				HSK_Level_1	5	[3, 5, 2]
这	這	<span class="tone4">zhè</span>	<ol><li>this</li> <li>these</li> <li>(commonly pr. [zhei4] before a classifier, esp. in Beijing)</li></ol>				HSK_Level_1	5	[5]
能		<span class="tone2">néng</span>	<ol><li>can</li> <li>to be able to</li> <li>might possibly</li> <li>ability</li> <li>(physics) energy</li></ol>				HSK_Level_1	5	[5]
那		<span class="tone4">nà</span>	<ol><li>that</li> <li>those</li> <li>then (in that case)</li> <li>commonly pr. [nei4] before a classifier, esp. in Beijing</li></ol>				HSK_Level_1	5	[5]
都		<span class="tone1">dōu</span>	<ol><li>all</li> <li>both</li> <li>entirely</li> <li>(used for emphasis) even</li> <li>already</li> <li>(not) at all</li></ol>			<span class="nobr">兜</span>	HSK_Level_1	5	[5]
很		<span class="tone3">hěn</span>	<ol><li>(adverb of degree)</li> <li>quite</li> <li>very</li> <li>awfully</li></ol>				HSK_Level_1	5	[5]
东西	東西	<span class="tone1">dōng</span> <span class="tone5">xi</span>	<ol><li>thing</li> <li>stuff</li> <li>person</li></ol>	个|個(<span class="tone4">gè</span>), 件(<span class="tone4">jiàn</span>)			HSK_Level_1	5	[5, 5]
没关系	沒關係	<span class="tone2">méi</span> <span class="tone1">guān</span> <span class="tone5">xi</span>	<ol><li>it doesn't matter</li></ol>				HSK_Level_1	5	[3, 5, 5]
再见	再見	<span class="tone4">zài</span> <span class="tone4">jiàn</span>	<ol><li>goodbye</li> <li>see you again later</li></ol>				HSK_Level_1	5	[5, 1]
名字		<span class="tone2">míng</span> <span class="tone5">zi</span>	<ol><li>name (of a person or thing)</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	6	[1, 6]
五		<span class="tone3">wǔ</span>	<ol><li>five</li> <li>5</li></ol>				HSK_Level_1	6	[6]
飞机	飛機	<span class="tone1">fēi</span> <span class="tone1">jī</span>	<ol><li>airplane</li></ol>	架(<span class="tone4">jià</span>)			HSK_Level_1	6	[6, 1]
字		<span class="tone4">zì</span>	<ol><li>letter</li> <li>symbol</li> <li>character</li> <li>word</li> <li>courtesy or style name traditionally given to males aged 20 in dynastic China</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	6	[6]
九		<span class="tone3">jiǔ</span>	<ol><li>nine</li> <li>9</li></ol>			<span class="nobr">久</span>	HSK_Level_1	6	[6]
八		<span class="tone1">bā</span>	<ol><li>eight</li> <li>8</li></ol>			<span class="nobr">扒</span> <span class="nobr">疤</span>	HSK_Level_1	6	[6]
六		<span class="tone4">liù</span>	<ol><li>six</li> <li>6</li></ol>				HSK_Level_1	6	[6]
老师	老師	<span class="tone3">lǎo</span> <span class="tone1">shī</span>	<ol><li>teacher</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)			HSK_Level_1	7	[4, 7]
认识	認識	<span class="tone4">rèn</span> <span class="tone5">shi</span>	<ol><li>to know</li> <li>to recognize</li> <li>to be familiar with</li> <li>to get acquainted with sb</li> <li>knowledge</li> <li>understanding</li> <li>awareness</li> <li>cognition</li></ol>				HSK_Level_1	7	[4, 7]
吃		<span class="tone1">chī</span>	<ol><li>to eat</li> <li>to consume</li> <li>to eat at (a cafeteria etc)</li> <li>to eradicate</li> <li>to destroy</li> <li>to absorb</li> <li>to suffer</li> <li>to stammer (Taiwan pr. for this sense is [ji2])</li></ol>				HSK_Level_1	7	[7]
电视	電視	<span class="tone4">diàn</span> <span class="tone4">shì</span>	<ol><li>television</li> <li>TV</li></ol>	台|臺(<span class="tone2">tái</span>), 个|個(<span class="tone4">gè</span>)			HSK_Level_1	8	[5, 8]
住		<span class="tone4">zhù</span>	<ol><li>to live</li> <li>to dwell</li> <li>to stay</li> <li>to reside</li> <li>to stop</li> <li>(suffix indicating firmness, steadiness, or coming to a halt)</li></ol>				HSK_Level_1	8	[8]
呢		<span class="tone5">ne</span>	<ol><li>particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?")</li> <li>particle for inquiring about location ("Where is ...?")</li> <li>particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?")</li> <li>(at the end of a declarative sentence) particle indicating continuation of a state or action</li> <li>particle indicating strong affirmation</li></ol>				HSK_Level_1	8	[8]
爱	愛	<span class="tone4">ài</span>	<ol><li>to love</li> <li>affection</li> <li>to be fond of</li> <li>to like</li></ol>				HSK_Level_1	8	[8]
听	聽	<span class="tone1">tīng</span>	<ol><li>to listen</li> <li>to hear</li> <li>to obey</li> <li>a can (loanword from English "tin")</li> <li>classifier for canned beverages</li></ol>				HSK_Level_1	9	[9]
怎么	怎麼	<span class="tone3">zěn</span> <span class="tone5">me</span>	<ol><li>how?</li> <li>what?</li> <li>why?</li></ol>				HSK_Level_1	9	[9, 3]
怎么样	怎麼樣	<span class="tone3">zěn</span> <span class="tone5">me</span> <span class="tone4">yàng</span>	<ol><li>how?</li> <li>how about?</li> <li>how was it?</li> <li>how are things?</li></ol>				HSK_Level_1	9	[9, 3, 3]
叫		<span class="tone4">jiào</span>	<ol><li>to shout</li> <li>to call</li> <li>to order</li> <li>to ask</li> <li>to be called</li> <li>by (indicates agent in the passive mood)</li></ol>				HSK_Level_1	9	[9]
写	寫	<span class="tone3">xiě</span>	<ol><li>to write</li></ol>				HSK_Level_1	9	[9]
号	號	<span class="tone4">hào</span>	<ol><li>ordinal number</li> <li>day of a month</li> <li>mark</li> <li>sign</li> <li>business establishment</li> <li>size</li> <li>ship suffix</li> <li>horn (wind instrument)</li> <li>bugle call</li> <li>assumed name</li> <li>to take a pulse</li> <li>classifier used to indicate number of people</li></ol>				HSK_Level_1	9	[9]
时候	時候	<span class="tone2">shí</span> <span class="tone5">hou</span>	<ol><li>time</li> <li>length of time</li> <li>moment</li> <li>period</li></ol>				HSK_Level_1	10	[1, 10]
电影	電影	<span class="tone4">diàn</span> <span class="tone3">yǐng</span>	<ol><li>movie</li> <li>film</li></ol>	部(<span class="tone4">bù</span>), 片(<span class="tone4">piàn</span>), 幕(<span class="tone4">mù</span>), 场|場(<span class="tone3">chǎng</span>)			HSK_Level_1	10	[5, 10]
书	書	<span class="tone1">shū</span>	<ol><li>book</li> <li>letter</li> <li>document</li> <li>to write</li></ol>	本(<span class="tone3">běn</span>), 册|冊(<span class="tone4">cè</span>), 部(<span class="tone4">bù</span>)		<span class="nobr">输|輸</span>	HSK_Level_1	10	[10]
今天		<span class="tone1">jīn</span> <span class="tone1">tiān</span>	<ol><li>today</li> <li>at the present</li> <li>now</li></ol>				HSK_Level_1	10	[10, 2]
请	請	<span class="tone3">qǐng</span>	<ol><li>to ask</li> <li>to invite</li> <li>please (do sth)</li> <li>to treat (to a meal etc)</li> <li>to request</li></ol>				HSK_Level_1	10	[10]
吗	嗎	<span class="tone5">ma</span>	<ol><li>(question particle for "yes-no" questions)</li></ol>			<span class="nobr">嘛</span>	HSK_Level_1	10	[10]
医生	醫生	<span class="tone1">yī</span> <span class="tone1">shēng</span>	<ol><li>doctor</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>), 名(<span class="tone2">míng</span>)			HSK_Level_1	10	[10, 5]
医院	醫院	<span class="tone1">yī</span> <span class="tone4">yuàn</span>	<ol><li>hospital</li></ol>	所(<span class="tone3">suǒ</span>), 家(<span class="tone1">jiā</span>), 座(<span class="tone4">zuò</span>)			HSK_Level_1	10	[10, 9]
不客气	不客氣	<span class="tone4">bù</span> <span class="tone4">kè</span> <span class="tone5">qi</span>	<ol><li>you're welcome</li> <li>don't mention it</li> <li>impolite</li> <li>rude</li> <li>blunt</li></ol>				HSK_Level_1	11	[4, 11, 5]
北京		<span class="tone3">běi</span> <span class="tone1">jīng</span>	<ol><li>Beijing, capital of People's Republic of China</li> <li>Peking</li> <li>PRC government</li></ol>				HSK_Level_1	11	[7, 11]
七		<span class="tone1">qī</span>	<ol><li>seven</li> <li>7</li></ol>				HSK_Level_1	11	[11]
钱	錢	<span class="tone2">qián</span>	<ol><li>coin</li> <li>money</li> <li>unit of weight, one tenth of a tael 兩|两[liang3]</li></ol>	笔|筆(<span class="tone3">bǐ</span>)			HSK_Level_1	11	[11]
衣服		<span class="tone1">yī</span> <span class="tone5">fu</span>	<ol><li>clothes</li></ol>	件(<span class="tone4">jiàn</span>), 套(<span class="tone4">tào</span>)			HSK_Level_1	11	[11, 9]
学习	學習	<span class="tone2">xué</span> <span class="tone2">xí</span>	<ol><li>to learn</li> <li>to study</li></ol>				HSK_Level_1	12	[2, 12]
热	熱	<span class="tone4">rè</span>	<ol><li>to warm up</li> <li>to heat up</li> <li>hot (of weather)</li> <li>heat</li> <li>fervent</li></ol>				HSK_Level_1	12	[12]
谁	誰	<span class="tone2">shéi</span>	<ol><li>who</li></ol>				HSK_Level_1	12	[12]
汉语	漢語	<span class="tone4">hàn</span> <span class="tone3">yǔ</span>	<ol><li>Chinese language</li></ol>	门|門(<span class="tone2">mén</span>)			HSK_Level_1	12	[12, 7]
坐		<span class="tone4">zuò</span>	<ol><li>to sit</li> <li>to take a seat</li> <li>to take (a bus, airplane etc)</li> <li>to bear fruit</li></ol>			<span class="nobr">做</span> <span class="nobr">座</span>	HSK_Level_1	13	[13]
学校	學校	<span class="tone2">xué</span> <span class="tone4">xiào</span>	<ol><li>school</li></ol>	所(<span class="tone3">suǒ</span>)			HSK_Level_1	14	[2, 14]
电脑	電腦	<span class="tone4">diàn</span> <span class="tone3">nǎo</span>	<ol><li>computer</li></ol>	台|臺(<span class="tone2">tái</span>)			HSK_Level_1	14	[5, 14]
星期		<span class="tone1">xīng</span> <span class="tone1">qī</span>	<ol><li>week</li> <li>day of the week</li> <li>Sunday</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	14	[14, 10]
喜欢	喜歡	<span class="tone3">xǐ</span> <span class="tone5">huan</span>	<ol><li>to like</li> <li>to be fond of</li></ol>				HSK_Level_1	14	[14, 12]
冷		<span class="tone3">lěng</span>	<ol><li>cold</li></ol>				HSK_Level_1	14	[14]
高兴	高興	<span class="tone1">gāo</span> <span class="tone4">xìng</span>	<ol><li>happy</li> <li>glad</li> <li>willing (to do sth)</li> <li>in a cheerful mood</li></ol>				HSK_Level_1	15	[2, 15]
